歌手名字,许嵩
1332711320,嫁妆
1332711321,故乡的黄昏
歌手名字,黄安
95410,新鸳鸯蝴蝶梦
95385,样样红
95393,东南西北风
95370,救姻缘
454966324,把爱带回家
95290,明明知道相思苦
95428,陪你到天涯
95235,奈何两字拉成桥
95384,明天会吹什么风
95285,传灯
95237,八卦八卦我牵挂
95387,君莫攀
95419,爱别离
95381,风风雨雨来时路
95423,野火在轻轻的烧
95415,爱与喜欢之间
95189,新駌鸯蝴蝶梦
95431,你好坏
95508,藕断丝连
95298,只要年轻就有梦
5278120,美酒加咖啡
95378,世间人
32196656,情僧
95442,点一首歌给你听
95268,先知
95397,回头是彼岸
95425,古老的眼泪
95504,他妈的妈妈说
95266,妹妹我爱你
95118,匆匆
95146,我愿为你错
95390,绝配
95435,关于那些难以开口的事
95439,床的前面月亮的光
95277,女儿
95283,轮回
95142,答案
95239,做人难
95273,名字
95330,爱离别
95304,我的泪让铁石心肠的人都感动
95275,带子郎
95176,美人风筝
95270,月光华华
95185,福星高照
95453,相逢
95455,亲爱的南方妹妹
95457,是否还能见到你
95340,风风兴兴来时路
95461,江湖郎中
歌手名字,柯智豪
520242591,卡门
520242594,满树翠碧
520242603,劝世歌
520242593,成魔绘
520242590,冤沉大海心不愿
520242596,棠夫人真身
520242600,成魔舞
399406194,持續向前
399405263,蜂鸟
399405264,菜鸟
399405265,鹳
399406180,鱼狗
399406181,鸵鸟
399406182,猫头鹰
399405266,噓一
399405267,噓二
399405268,耽溺
399405269,遺棄
399405270,偽裝
399406183,忌妒
399406185,做作
399406186,噓三羞恥
399406187,不堪
399406188,噓四
399406189,噓五
399405271,一條身邊的線
399405272,出去化緣就有錢
399405273,失敗者
399405274,姐弟
399405275,青春詩
399405276,約吃沙西米
399405278,除了我都在一起
399405279,當我們都在別人身邊
399405280,騎士
399406190,三貼
399406191,古老新潮
399406192,你做的晚餐
399406193,幸福的夜下雨了
399406195,埋伏
399406196,祝你幸福
399406197,聊聊吧
399406198,摩托車就是我的運河小舟
484311255,大展鸿鹄家业
484311256,夫郎为国建功勋
484311257,案头
484311258,喑哑的乌鸦叫嘎嘎
484311259,夫郎面容有惊异
484311260,男儿汉本应是揭竿而起
484311261,芭蕉淋
484314225,序曲
歌手名字,李绍继
122962,你是我的玫瑰花
123071,梦醒时分
264282,流星雨
122911,分开旅行
123063,最远的你是我最近的爱
122958,美丽的神话
264229,制造浪漫
264274,痴心绝对
123086,丁香花
122974,东风破
122970,如果下辈子我还记得你
264271,桃花朵朵开
123060,两只蝴蝶
122989,你到底爱谁
123027,披着羊皮的狼
122927,暗香
264269,花田错
264278,大城小爱
122954,狼爱上羊
264276,那一夜
264226,广岛之恋
264203,谢谢你的爱
264212,你最珍贵
122933,爱我的人和我爱的人
264234,知心爱人
264218,现代爱情故事
264228,相思风雨中
264220,迟来的爱
123023,寂寞在唱歌
264213,有一点动心
264223,屋顶
264230,花好月圆夜
264233,明明白白我的心
264232,无言的结局
264284,不要再来伤害我
264227,选择
264287,多情人都把灵魂给了谁
264260,江湖笑
264240,你是我心内的一首歌
264248,寂寞沙洲冷
264204,今夜你会不会来
264236,爱我你怕了吗
264247,求佛
264215,在我生命中的每一天
264255,香水有毒
264216,我悄悄的蒙上你的眼睛
264252,黄金甲
264225,最爱的人伤我最深
5245466,当爱已成往事
123051,铁血丹心
歌手名字,李维
122088,寂寞是因为思念谁
121835,你不是真正的快乐
36897286,过客
26484471,往事随风
121845,猜不透
36229074,花样年华
28196375,别让我的眼泪陪我过夜
121770,爱的太累
36229071,往事只能回味
122026,我们说好的
5232713,现在我很幸福
121858,类似爱情
122074,忽然之间
122161,送别
121795,多年以后
28196445,无情的雨无情的你
121736,相思引
36229070,偶然
121849,下雨天
36229072,朋友
121829,画心
122203,美丽心情
866274343,过客的歌
121947,半面妆
121907,天亮了
122029,我怀念的
122218,红豆
122189,囚鸟
122136,风与叶子
121712,问
122158,亲爱的宝贝
121706,传奇
122211,下辈子我还记得你
121901,星星和我睡不着
122215,亲爱的你怎么不在我身边
121919,风中的羽翼
122206,失踪
122197,我可以抱你吗
121699,离人
28196372,北方的狼
122100,女人的选择
121754,答应不爱你
121882,遗憾
122098,隔世离空的红颜
121781,刻骨的温柔
121904,亲爱的小孩
26484470,外面的世界
26484467,大约在冬季
36229076,用心良苦
122118,丝路
歌手名字,马三立
27804445,逗你玩
28258496,病从口入
27804451,黄鹤楼
28258499,考试
27804446,开粥厂
28258497,吃蒜
27804489,三字经
27804465,八大改行
28258504,学外语
137225,吃元宵
27804462,吃饺子
28258498,家庭趣事
137261,家传秘方
27804447,八十层楼
28258503,自圆其说
27804458,查卫生
28258500,错中错
28258501,似曾相识的人
137230,练气功
27804453,钓鱼
28258505,文章会
28258502,学说瞎话
137232,买猴
27804474,十点钟开始
137242,汽车喇叭声
27804471,偏方
137264,大会见闻
137231,马虎人
137229,老头醉酒
27804452,扒马褂
137272,找糖块
137251,算卦
137235,美容院
137223,白事会
27804490,苏三不要哭
137233,卖挂票
137276,学李多奎
137248,说瞎话
27804469,马三立拜年
137227,开会迷
137226,对对子
137236,秘方
137234,卖黄土
137244,让座
27804468,讲卫生
137240,起名字的艺术
27804454,拉洋片
27804461,夸住宅
27804493,汽车声音
27804456,大上寿
歌手名字,宁群
865861105,胆子有多大
865861106,惹不起的大小姐
865861107,笑对明天
865861109,永不止步
865861111,迟迟不来
865861117,目的地
865868078,你的裁决
865868079,与你
865868080,远方
865868081,找不回的青春
865868082,只想与你一起走过
865868083,追寻心底的声音
865868084,做一回疯子
865868085,爱的旅途
865868086,多么陶醉
865868087,过去只是过去
865868088,井底的小青蛙
865868090,美丽的流星
865868092,难以捉摸
865021942,漂泊的感觉
865021943,野花
865021944,夜梦花
865021946,至少爱你
865021947,爱一个人
865021948,冲吧
865021950,告别回忆
865021953,假象
865021954,就这样
865021955,美好回忆
865048867,遥远的路
865048868,再相逢
865048869,正义的愤怒
865048870,追风筝的人
865048872,走不完的夜
865048873,爱自己
865048875,姑娘
865048876,古代
865048877,回忆
1293904671,时刻
1293904672,是寂寞
1293904673,说的是感动
1293904674,天空
1293904681,微笑的力量
1293904683,为什么离开我
1293904684,问候
1293904685,我见过你
1293904686,我要的爱情
1293904687,希望等待
1293904688,喜欢阳光
1293904709,像风一样
歌手名字,潘鹏展
546723506,我还是爱你
546722581,走过这条街
546730510,我的地盘
546722569,相遇在人海
546723492,谁的谁
36011656,伤心威士忌
36011657,不知怎么活
36011658,从此不再落寞
36011659,打开幸福之门
36011660,分享
36011661,浮梦一场
36011662,浑身伤口
36011663,记忆的秋千
36011664,剪了一尺红尘
36011665,静静陪你走一回
36011666,梦悠悠
546722432,爱不能寄人篱下
546722434,爱不需要理由
546722435,爱的红绿灯
546722436,爱情在这里
546722437,爱是你
546722438,爱是我的方向
546722439,爱想要什么
546722440,爱夜的角落
546722441,倍感失败
546722442,被你割断的思念
546722443,被他笼罩
546722444,出乎意料
546722445,当时的脚印
546722521,是不是都已经忘了
546722446,都是为了爱情
546722522,是不是还要等待啊
546722448,难得所谓的缘
546722523,天空的槐花香
546722449,让我忘了自己
546722533,痛该自己去承受
546722450,如果没有你
546722534,温馨环绕
546722451,伤心的哭泣
546722535,我对你
546722456,伤心的街
546722537,我们是天使
546723389,爱不属于黑
546722540,我为什么不需要
546723391,爱的光芒
546723392,爱的真与假
546722570,学不会
546723393,爱情看不清楚
546722571,野草香花
546723394,爱要问天
歌手名字,庞飞
525967709,彩虹妹妹
527685502,自从有了你
527039768,我问你
525825225,夜来香花送姑娘
528433602,高山流水
525825226,小村之恋
525825227,我要你笑一笑
525825228,含泪的微笑
525825229,甜蜜的小雨
525825230,轻声细语
525825231,飘香梦
525825232,人儿不能留
525825233,阿美村的罗娃
525825234,看到枫林小雨
525825235,我们恋爱了
525967706,单车谈情
525967707,百鸟朝凤
525967708,探亲相骂
525967711,搭错线
525967712,俩口子对唱
525967713,打是疼你骂是爱
525967714,桃花船
525967715,老子没钱
525967716,遥远寄相思
525967717,爱的世界多甜蜜
522826226,歌声满山岗
522826227,海边的实验
522826228,腊歌
522826229,山边
522826230,夏日假期玫瑰花
522826231,愿意在梦中
522826232,诉请
522826233,我心为你
522826234,不讲理的姑娘
522826235,相思
522826236,希望
522826237,恋爱的时最美丽
527685501,印度情歌
527685503,送情郎
527685504,男人女人
527685505,敖包相会
527685506,哑子揹疯
527685507,绿岛小夜曲
527685508,读书乐
527685509,踏车小唱
527685510,光棍苦
527685511,野丫头
527685512,我俩不分开
527039757,马来情歌
527039758,南海情歌
歌手名字,青山
521417290,酒醒梦已残
33599328,外婆的澎湖湾
142190,水长流
142193,泪的小花
33781021,月儿像柠檬
33715406,真情比酒浓
5275798,明白
33854527,郎尼路加
33854678,泪洒爱河桥
142244,星夜的离别
142246,可爱的马
142248,问白云
142249,蓝色的忧郁
142251,寻梦园
142253,三朵花
142255,甘蔗与高梁
142257,我在你左右
142261,故乡之歌
142263,青春鼓王
142267,明日之歌
142269,船
142270,谁能禁止我的爱
142271,你最无情
5281590,今夜雨蒙蒙
5281604,相思悠悠
5281607,偷偷爱上你
5281626,情人梦
33781009,几度花落时
521416097,一寸相思一寸泪
521416566,出人头地
521416567,寒雨曲
142085,明日天涯
142091,泪的小雨
142092,烟雨斜阳
142093,你是负心人
142094,我家在那里
142097,相思河畔
142099,情难守
142100,绿岛小夜曲
142102,杏花溪之恋
142103,台北今夜没有你
142104,雾中花
142105,今宵多珍重
142273,昨夜梦醒时
142274,相思幽幽
142275,不要抛弃我
142276,因为我爱你
142277,把握人生方向
142278,怀念的初恋情人
142281,一年又一年
歌手名字,容中尔甲
143833,高原红
29769465,又见高原红
143904,神奇的九寨
143821,神奇的九寨
28095351,向往神鹰
143882,香格里拉
5258520,藏语文之歌
143916,背水姑娘
5271314,相聚
143925,扎西德勒
143859,神奇的九寨
1317116577,阿拉姜色
143779,情歌
5271317,快乐的弦子
5271313,阿克班玛
143848,你在天边
143914,九寨之恋
143767,牧人之歌
143878,雪域之光
5258517,神奇的九寨
143898,九寨情缘
1376445934,地球的眼睛
143919,雪域之光
143771,祈祷
143872,神奇的九寨
28449002,为梦想领跑
143873,玛呢之歌
5269561,北京的金山上
143875,背水姑娘
436699370,阿咪罗罗
143880,九寨之恋
5269559,卓斯甲仁波切的泪水
29418649,一恋万年
143777,马背上的少年
5269547,祈祷
143789,解脱
143786,阿妈
26348145,多谢了
143773,降临
27646596,长白山眷恋
27949474,故乡梦
143781,兄弟
143775,迁徙
143769,青蛙与少年
27907862,人间仙境织金洞
5269562,圣地玛尼经
143792,怀想
143783,出征伤
27908352,神秘的白水洋
5269551,玛尼之歌
歌手名字,谭炎健
152158,葬花吟
152155,引子
152075,山歌好比春江水
152177,枉凝眉
152103,世上哪见树缠藤
152166,晴雯曲
151996,秋天的落霞
152173,秋窗风雨夕
152232,牧羊曲
152169,红豆曲
152000,明月证
152161,分骨肉
152175,聪明累
152171,题帕三绝
152163,叹香菱
152220,妈妈的吻
152260,涛声依旧
152048,映山红
152218,康定情歌
152080,采茶姐妹上茶山
152228,知音
152214,洪湖水浪打浪
1303019346,我要回家
152069,只有山歌敬亲人
152244,今天是你的生日
152248,流浪歌
152246,真的好想你
152263,心雨
152212,敖包相会
152222,难忘今宵
152250,我不想说
152230,天涯歌女
152261,弯弯的月亮
152126,一帘幽梦
152059,远飞的大雁
152078,心想唱歌就唱歌
152242,我们的田野
152226,让我们荡起双桨
152216,小燕子
152254,好人一生平安
152210,月亮走我也走
152234,珊瑚颂
152208,半个月亮爬上来
152129,月亮代表我的心
152143,莫斯科郊外的晚上
152238,四季歌
152262,在那遥远的地方
152096,山顶有花山脚开
152236,说句心里话
152256,花儿为什么这样红
歌手名字,谭宝硕
153408,禅院钟声
153374,故园旧梦
153406,长相思
153410,高山流水
153393,落梅风
153400,昭君怨
153396,阳关三叠
153404,妆台秋思
153417,天女散花
33891636,听雨
153402,秋江夜泊
153398,别鹤怨
33891637,秋月
153391,平沙落雁
33891643,巴山夜雨
33891641,子夜吴歌
33891642,夜雾飞花
153416,寒山偈
153419,水中月
153421,戏梦
153423,观云
153425,火中莲与火中莲
153427,一抹青烟
153429,无尽烟
153344,季候风
153346,戈壁之魂
153348,流霞
153351,雨林
153353,红柳之舞
153355,心泉
153357,闪闪星空
153360,飘零
153363,蔚蓝色的星球
33891639,秋山
33891640,秦楼夜月
33891644,水墨茶花
33891645,二月山茶
1318877106,清秋吟
1318879103,秋灯夜读
1318877105,云水行
1318879104,素月
1318879105,初雪
1318880115,似水流年梦
1318880116,霜叶
1318880117,清夜清风
1318880119,雾夜
1318894079,花落无意
1318894080,一缕茶香
153372,云门夜雨
153376,风雷祭
歌手名字,王闻
29209604,爱的故事上集
29209598,一生中最爱
29209596,雨丝情愁
277940,暗里着迷
29209601,让一切随风
277882,谁令你心痴
277929,星
29209605,有谁共鸣
277925,天意人心
277871,雨中的恋人们
29209611,昨天今天下雨天
277937,漫步人生路
29209602,风继续吹
546715599,后来
29209599,再见二丁目
277873,分分钟需要你
29209609,酒红色的心
277941,迟来的春天
29209608,但愿人长久
277945,几许风雨
277943,曼珠沙华
546715607,为爱痴狂
29209610,默默向上游
29209606,旧居中的钢琴
546715601,约定
277931,天各一方
29209603,天长地久
29209607,举杯相醉
277878,水中花
546715606,至少还有你
277870,哪里的天空不下雨
277888,情人
277938,雨夜的浪漫
277927,幻影
277932,浪子心声
277926,留住我吧
277935,情凭谁来定错对
277876,半梦半醒
546715600,宁夏
546715602,棋子
277922,今夜情为证
546715603,可惜不是你
277886,别话
277944,偏爱
277939,情义两心知
546715610,哭砂
546715609,亲密爱人
277869,忘不了你
1376904987,余生给你
277872,童年时
歌手名字,西皮士
41462333,虫之安眠曲
169332,溯
427609547,妙风
427609546,流云
169059,移魂曲
427609548,辉月
169086,鹤形
41462330,月下漫步
169092,无伤曲
41462332,落霞
41462323,穿山虎
169076,碧海潮生曲
169090,又见小山水
169055,清风曲
487659257,月光漫步
1335431445,春雪
41462331,痛
1385291782,秋月
29848081,踏雪迎霜
487658450,忘忧岛
1385290683,光
1304953296,远山
1304951539,湖心亭看雪
448696652,清风揽月
41462324,澈月
487660269,青青
1304951507,乔帮主
487658495,雀桥会
1385290717,寒山
169063,广寒宫
487658567,屠龙
525969398,猫之初
41462322,小和尚下山
1385290730,上少室山
169075,琵琶错
41462327,降龙
487658462,清泉照月
41462328,再见桃花岛
1385291780,東海
525967000,碧月
427609549,城南
1335432437,霄月
169222,重庆杀手
29848068,鯤
169077,曲终人散
1304954488,刀
487660304,弯刀对月
1385290731,春雨
1385290732,沉沒
448695888,清风抱月
歌手名字,徐嘉良
29999285,殇
4877167,琴心
4877160,新月
393699,仙侣奇缘主题曲音乐
4877174,黎明不再
29984920,寒雪牵魂箫
4877175,来生
4877159,初
4877161,孤心
466122784,一个人想着一个人
467394615,星月
4877165,夜奔
4877173,无期
467590118,城都
467390331,独照
467590390,迷迭香
4877169,月影舞
466122728,黄昏
467390597,电音
466122815,雨爱
4877162,心嫁
4877163,追
4877164,悸
466126712,虫鸣鸟叫
4877170,夜祭
4877168,叛逃
4877171,黑风
467394542,哀凄的大提琴
467590098,凄美琴声
466122800,天堂鸟
467390480,花田错
4877172,征
29379968,思念的河
29379969,孤单
29379971,等待归人
29379972,凝望
29379973,日光
466126740,第一次的约会
467390360,羊肠小道
467390477,心花怒放
467390478,伯乐
466122796,无底洞
466122797,蓝色风暴
466122798,惊涛骇浪
467390481,月黑风高
466122799,蝗虫攻击
467390483,快马加鞭号角
466122801,蓝色海啸
466122802,蓝色的雨
467390647,望故乡
歌手名字,杨栋梁
33668486,我的心在海对面
446508724,回忆填满路口
1305367514,灰色的雨
33668484,被惊醒的童话
480426113,安徒生的小说
446512678,夜空
448741203,圣诞树
28059205,男主角
26584182,避风堂
399342701,拥有你的感觉
30373226,眼泪的咸
535793501,你被藏在我的回忆里
29544990,我不是我
33668485,活该
30373227,一定会好好的
1350304511,与你有关
473440158,小雪
27514836,和你说不懂
446512677,天使在微笑
1311347624,丢了心的木偶
29544989,思念的痛
1321442833,你的姓名
33668487,无比的唯美
30373228,阴谋
513356954,爱一个人真的有错吗
513360909,不要用爱的名义剪短我的翅膀
546715073,我比较简单
27090145,擦下眼泪的离别
1335546010,夏天的雪
1349515508,放开你的手
27090143,丘比特的弓箭
27090144,带你去逛夏威夷
27090146,三月三
27514835,小女孩手中的音乐盒
27514837,限量版青春
27514838,色彩
27514839,其实没懂得
27514840,要分开怎么办
27580488,你的依赖
29544988,番茄
399342699,燃烧的跳动
399342700,小情调
399343719,幸福的讯号
399343718,无标题
454698371,致主人公
454698372,莫斯科之吻
454698373,葬花梦
474574319,桃乡行
478736223,孤山观梅
488641657,热天
歌手名字,印能法师
185569,大悲咒
28748253,心经
28828168,往生咒
185571,绿度母心咒
185572,药师佛心咒
185565,佛说万物生
28828163,般若波罗蜜多心经
28748256,三皈依
28748262,佛母准提神咒
1382592648,南无阿弥陀佛圣号
185573,观世音菩萨甘露咒
28748257,心中的菩提
185575,观音菩萨偈
185570,白度母心咒
28748259,佛在灵山莫远求
28748261,礼赞释迦牟尼佛
28828166,阿弥陀佛赞偈
185574,见与不见不如不见
28828171,回向文
28748263,观音灵感真言
185566,忽闻海上有仙山
185568,情系空门
185576,孤僧
28828165,佛说大吉祥天女十二名号经
185567,潘多拉星球
472925946,大慈大悲
28748252,雪域莲花
28828169,净土文
472929001,观音圣号
185577,华严阑若
28828162,妙音天女赞
28828167,本焕长老念佛开示
28748258,称念赞永七如来
28748260,西江月
28748254,思念阿妈
1382592641,莲师心咒
28748255,佛陀在金殿等你
472945058,水田妙悟
1382596143,地藏赞
1382596102,香云供养
1387178754,清风明月
1387178764,菩提本无树
1382596140,一家人
1382592644,空行大悲
1387178765,寒山颂
1387152948,消灾吉祥神咒
1382592642,文殊赞
1387178767,观世音菩萨圣号
1382592643,普贤愿王
1382596133,玛哈噶啦
歌手名字,袁小迪
267149,男人情女人心
267243,阿郎
180515,重出江湖
34040974,雪中红
5271005,兄妹
34057064,舞伴
266911,江山美人
180510,海海人生
180552,情深深
180393,爱你爱到死
5270999,爱愈深伤愈深
180509,车站
27946529,勇敢的泉州人
180525,纸云烟
180508,初恋
267249,破镜重圆
180524,爱愈深伤愈重
180530,相依为命
180504,漂泊的爱
34084897,生命的恋歌
180540,是你反背我
297356,情歌对唱
218759,小姐请你给我爱
180486,人生啊人生
180367,鸳鸯被
218703,想你的时袸
180507,今夜又搁块落雨
180544,星星知我心
180505,纯情红玫瑰
180506,情人裳
180513,你是我所有的性命
266917,续缘
180563,等你返来
180405,一代枭雄
180487,今夜台北城
180512,爱人醉落去
180428,英雄心
1334078875,乎干
180592,伤心的歌
180594,谁人卡花
180608,情花
267436,离别的酒
180554,爱你千年万年
180561,为爱等待我愿意
180411,搥心
180391,买醉的借口
180403,再相会
180395,再会安平
180397,我是真爱你
180399,出外英雄
歌手名字,碧娜
207437,再回到从前
207443,发如雪
207444,想起
207440,我不后悔
207382,刺心
5235829,别太晚回家
207384,爱与不爱
207438,爱似神仙
207363,我的爱有罪
207386,白狐
207439,为什么受伤的总是我
207364,爱情断了线
207387,不要用我的爱来伤害我
207365,平凡女人
207388,伞下又是一个雨天
207441,相爱容易相处难
207366,茉莉花开
207389,远
207442,其实我很在乎你
207367,死心塌地
207391,地狱天使
207368,鹊桥汇
207393,相思汤
207369,分手了就不要再想起我
207395,千年泪
207445,绽放
207370,放手去爱
207397,没有你的日子我真的好孤单
207446,你的眼睛背叛了你的心
207371,一辈子不后悔
207399,蝴蝶
207447,我是否还爱你
207373,擦肩而过
207401,再爱你
207448,缘份
207375,爱情重点
207403,擦身而过
207377,你走进了她的房间
207424,想着你睡不着
207407,你从什么时候不再爱我
207425,思念
207408,十字路口
207426,抱紧我别走
207409,你别怪我
207427,回首往事
207411,飞舞
207429,孔雀东南飞
207431,香水有毒
207432,轮回
207420,再一次拥有
歌手名字,蔡幸娟
5281253,问情
213916,星星知我心
5276990,订做一个天堂
214270,庭院深深
70648,我心已许
214074,相爱容易相处难
214255,一帘幽梦
214870,东方女孩
214252,月朦胧鸟朦胧
214779,舍不得分离
214294,半点心
214070,从来没有想过这样道别离
214345,秋凉如我心
213700,水中花
5284767,美就是心中有爱
214106,杨贵妃
214185,南屏晚钟
213651,不到天荒情不老
214116,采莲曲
33668220,绿岛小夜曲
214020,琵琶曲
213913,夏之旅
214275,我是一片云
214497,你那好冷的小手
214820,说出来谁会相信
214566,我有一段情
213539,快乐的出帆
